run,index,mlx.time,mcmc.time,sir.time,mlx_sir,mlx_mcmc
1,1,14.3,14.3,14.3,0,0
1,2,25,25.1,25,0,0.0040000000000000565
1,3,9.7,9.7,9.7,0,0
1,4,16.8,16.8,16.8,0,0
1,5,32.2,32.1,32.2,0,-0.0031055900621118453
1,6,16.8,16.6,16.8,0,-0.011904761904761862
1,7,16.5,16.5,16.5,0,0
1,8,20.6,20.7,20.6,0,0.004854368932038731
1,9,15.5,15.600000000000001,15.5,0,0.006451612903225898
1,10,32.5,32.7,32.5,0,0.0061538461538462414
1,11,10.5,10.5,10.5,0,0
1,12,28.8,28.900000000000002,28.8,0,0.0034722222222222715
1,13,15.100000000000001,15.100000000000001,15.100000000000001,0,0
1,14,10.4,10.5,10.4,0,0.009615384615384581
1,15,14.200000000000001,14.200000000000001,14.200000000000001,0,0
1,16,21.2,21.3,21.2,0,0.004716981132075539
1,17,19,19,19,0,0
1,18,45.7,45.7,45.800000000000004,0.002188183807439856,0
1,19,22.400000000000002,22.400000000000002,22.400000000000002,0,0
1,20,21.3,21.3,21.5,0.009389671361502313,0
3,1,14.9,14.9,14.9,0,0
3,2,26,26.200000000000003,26,0,0.007692307692307802
3,3,10.8,10.8,10.7,-0.00925925925925939,0
3,4,17.8,17.700000000000003,17.8,0,-0.005617977528089768
3,5,32.5,32.6,32.6,0.0030769230769231207,0.0030769230769231207
3,6,17.700000000000003,17.6,17.700000000000003,0,-0.0056497175141243736
3,7,17.8,17.700000000000003,17.700000000000003,-0.005617977528089768,-0.005617977528089768
3,8,21.2,21.400000000000002,21.2,0,0.009433962264151078
3,9,16.200000000000003,16.1,16.200000000000003,0,-0.006172839506172926
3,10,36.9,37.5,37.1,0.005420054200542083,0.016260162601626056
3,11,12.200000000000001,12.200000000000001,12.200000000000001,0,0
3,12,29.900000000000002,29.900000000000002,29.900000000000002,0,0
3,13,18.5,18.5,18.5,0,0
3,14,11.4,11.6,11.4,0,0.017543859649122744
3,15,16.1,15.9,16.1,0,-0.01242236024844727
3,16,21.6,21.7,21.6,0,0.0046296296296295305
3,17,20.3,20.3,20.400000000000002,0.004926108374384306,0
3,18,48,48.1,47.900000000000006,-0.002083333333333215,0.002083333333333363
